Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,1,1411,1,1411,0,0.1,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,126,0.028571429,0.057142857,0,0,Mar,2,5,2,10,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,185,0,0.1,0,0,Mar,1,1,1,10,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,218,0,0.066666667,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,3,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,30,484.672619,0,0.018965517,0,0,Mar,2,6,7,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,19,439.8333333,0.005555556,0.003703704,0,0,Mar,1,1,7,2,New_Visitor,FALSE,FALSE
2,38,0,0,21,733.7,0,0.014035088,0,0,Mar,2,7,1,3,Returning_Visitor,TRUE,FALSE
6,77,3,447,34,1469.702381,0,0.02398374,22.80152439,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
2,58.5,2,125,16,485.8333333,0,0.002222222,0,0,Mar,2,2,7,2,New_Visitor,TRUE,FALSE
0,0,0,0,3,19,0,0.066666667,0,0,Mar,2,4,1,1,Returning_Visitor,TRUE,FALSE
6,99.33333333,1,28.5,5,345.5,0,0.011111111,0,0,Mar,2,2,3,8,New_Visitor,FALSE,FALSE
3,117,0,0,20,543.8,0.00952381,0.019047619,0,0,Mar,1,1,1,2,New_Visitor,FALSE,FALSE
0,0,0,0,3,48,0,0.066666667,0,0,Mar,4,1,1,1,Returning_Visitor,FALSE,FALSE
2,16.66666667,0,0,22,343.3690476,0.001298701,0.039924242,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,171,0.022222222,0.066666667,0,0,Mar,2,10,4,3,Returning_Visitor,FALSE,FALSE
12,81.5,0,0,61,2202.579167,0.005797101,0.017153855,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,299.5,0.036363636,0.072727273,0,0,Mar,1,1,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,1,90,11,1056.5,0.018181818,0.054545455,0,0,Mar,4,2,1,2,Returning_Visitor,FALSE,FALSE
4,34,0,0,46,627.3083333,0,0.004166667,0,0,Mar,2,2,7,8,New_Visitor,FALSE,FALSE
4,38.5,0,0,33,583.8333333,0.002631579,0.007894737,0,0,Mar,2,2,4,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,7,221.5,0,0.028571429,0,0,Mar,4,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,44,441.7916667,0.004545455,0.018181818,0,0,Mar,4,2,1,3,Returning_Visitor,FALSE,FALSE
7,156.25,0,0,37,1037.355013,0,0.0165,0,0,Mar,3,2,8,2,Returning_Visitor,FALSE,FALSE
3,15,0,0,11,246,0.018181818,0.054545455,0,0,Mar,2,2,1,8,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,10,0,0.066666667,0,0,Mar,2,2,7,1,Returning_Visitor,FALSE,FALSE
0,0,2,18,1,46,0,0.066666667,0,0,Mar,2,2,7,10,Returning_Visitor,FALSE,FALSE
0,0,0,0,80,801.802381,0,0.0035,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE
1,19,0,0,40,1361.166667,0.005,0.0225,0,0,Mar,4,1,2,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,5,53,0.04,0.08,0,0,Mar,2,5,2,2,Returning_Visitor,TRUE,FALSE
1,7,0,0,17,2648.5,0.0125,0.03125,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,27,0.066666667,0.133333333,0,0,Mar,2,2,1,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,255,0,0.015384615,0,0,Mar,2,4,1,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,221.5,0,0.05,0,0,Mar,3,2,3,10,Returning_Visitor,TRUE,FALSE
0,0,0,0,7,225,0.028571429,0.085714286,0,0,Mar,4,1,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,125,0,0.028571429,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,323,0.033333333,0.066666667,0,0,Mar,2,2,1,3,Returning_Visitor,TRUE,FALSE
5,67.5,3,245,32,1929.329762,0,0.00430839,0,0,Mar,2,4,1,1,Returning_Visitor,FALSE,FALSE
12,311.4090909,0,0,96,4233.4807,0.006635802,0.027174712,3.541145833,0,Mar,2,4,1,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,5,116,0,0.04,0,0,Mar,2,5,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0.2,0.2,0,0,Mar,3,2,6,1,Returning_Visitor,TRUE,FALSE
3,14,0,0,27,1585.666667,0.026666667,0.058333333,0,0,Mar,2,2,6,1,Returning_Visitor,TRUE,FALSE
6,145,0,0,13,644,0,0.013333333,0,0,Mar,2,2,1,2,New_Visitor,FALSE,FALSE
0,0,0,0,5,488.5,0.032727273,0.033846154,0,0,Mar,2,7,7,6,Returning_Visitor,FALSE,FALSE
0,0,1,15,25,1235.65,0.041666667,0.05327381,0,0,Mar,1,1,1,3,Returning_Visitor,TRUE,FALSE
1,43,0,0,37,1505.166667,0,0.005263158,0,0,Mar,2,2,4,8,New_Visitor,FALSE,FALSE
0,0,0,0,7,495,0,0.00952381,0,0,Mar,4,1,3,2,Returning_Visitor,FALSE,FALSE
4,84,0,0,21,270,0,0.002380952,0,0,Mar,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0.2,0.2,0,0,Mar,3,2,1,10,Returning_Visitor,FALSE,FALSE
4,120,0,0,13,293,0,0.014285714,0,0,Mar,1,2,1,10,Returning_Visitor,FALSE,FALSE
0,0,1,0,51,2122.656061,0,0.007051282,9.294775641,0,Mar,2,2,1,10,Returning_Visitor,FALSE,TRUE
0,0,0,0,35,1231.160256,0.005714286,0.023619048,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,17,341.6666667,0.011764706,0.041176471,0,0,Mar,2,6,9,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,1,1,3,3,Returning_Visitor,FALSE,FALSE
